😀	哈哈
🌡️	温度计
☀️	太阳
🌞	太阳脸
⭐	星星
🌠	流星
🌌	银河
☁️	云
⛅	阴
⛈️	雷阵雨
🌥️	多云
🌧️	雨
🌨️	雪
🌩️	雷
🌪️	龙卷风
🌫️	雾
🌬️	风
🌀	台风
🌈	彩虹
☂️	伞
☔	雨伞
⛱️	阳伞
⚡	闪电
❄️	雪花
⛄	雪人
☄️	彗星
🔥	火
💧	水滴
🌊	浪
👓	眼镜
🕶️	墨镜
🥽	护目镜
🥼	白大褂
🦺	救生衣
👔	领带
👕	衣服
👖	裤子
🧣	围巾
🧤	手套
🧥	外套
🧦	袜子
👗	裙子
🩲	内裤
🩳	短裤
👛	钱包
👜	手提包
👝	手袋
🛍️	购物袋
🎒	书包
🩴	拖鞋
👞	皮鞋
👟	运动鞋
🥿	平底鞋
👠	高跟鞋
👑	皇冠
🧢	鸭舌帽
🪖	头盔
🎓	毕业
⛑️	安全帽
💄	口红
💍	戒指 钻戒
💎	钻石
📢	喇叭
📣	扩音器
🎼	乐谱
🎵	音符
🎤	麦克风 话筒
🎧	耳机
📻	收音机
🎷	萨克斯
🪗	手风琴
🎸	吉他
🎹	钢琴
🎺	小号
🎻	小提琴
🥁	鼓
📱	手机
☎️	电话
📞	听筒
📟	寻呼机
📠	传真 传真机
🔋	电池
🔌	插头
💻	笔记本 笔记本电脑
🖥️	电脑 计算机
🖨️	打印机
⌨️	键盘
🖱️	鼠标
💾	软盘 磁盘
💿	光盘
🧮	算盘
🎥	摄影机
🎞️	胶片
📽️	放映机
🎬	场记板
📺	电视
📷	相机 照相机
📹	摄像机
📼	磁带
🔍	放大镜
🕯️	蜡烛
💡	灯泡
🔦	手电筒
🏮	灯笼
📕	书
📚	书本
📓	笔记本
📄	文件
📰	报纸
🏷️	标签
💰	钱袋
🪙	硬币
💴	纸币 日元
💵	美元
💶	欧元
💷	英镑
💸	钱
💳	银行卡 信用卡
🧾	收据
✉️	信封
📧	电子邮件 电邮
📦	包裹
📫	邮箱
📮	邮筒
🗳️	投票 投票箱
✏️	铅笔
✒️	钢笔
🖊️	笔
🖌️	画笔
💼	公文包
📁	文件夹
📅	日历
📈	涨 上涨
📉	跌 下跌
📊	条形图
📋	剪贴板
📌	秃顶
📎	回形针
📏	尺 尺子 直尺
📐	三角板 三角尺
✂️	剪刀
🗑️	垃圾桶
🔒	锁
🔓	开锁
🔑	钥匙
🔨	锤 锤子
🪓	斧 斧头
⛏️	镐
🛠️	工具
🗡️	匕首
⚔️	剑
💣	炸弹
🪃	回旋镖 回力镖
🏹	弓箭
🛡️	盾 盾牌
🪚	锯子
🔧	扳手
